indice,comentario,sentimento_humano,sentimento_BERT
546,Concordo com Elon Musk.,x,x
547,igual há um filme na netflix chamado:  TAU,x,x
548,Vai temina esteminado do futuro vir acho difícil não tudo acontecer,x,x
549,"A. MÁQUINA  NÃO  É  MAIS. INTELIGENTE
QUE. OS  SERES. HUMANOS . O. PROBLEMA. É. A
FUSÃO. DAS. MÁQUINAS  QUÊ , FOGEM
AO. ALCANCE. HUMANO .",n,n
550,São os concorrentes dele.,x,x
551,"Eu tenho meu ponto de vista que ""SE NÃO PODEMOS COM ELAS ENTÃO NOS UNIMOS A ELAS""",p,n
552,"Sinceramente tenho medo, das consequências da inteligência artificial. A raça humana não tem limites em relação as suas ambições, podem usar a AI, para  o bem e para o mal.😢",n,n
553,"Isso vai dar merda qdo os robôs não entenderem as piadinhas e configurarem como realidade por alguns seres humanos, vai ser trágicos esses bugs 😬",n,n
554,Quero só ver quando os robôs destruirão também os seus inventores né que tal o Elton musk com toda a sua tecnologia destruir todas as invenções dessa paranóia exorbitante.,n,n
555,Pastor Clovis,x,x
556,Ja ti falei sua religiao e sua nao tenho nada com isso eu tenho a minha cuida da sua vida eu cuido da minha amem,x,x
557,Depois voce vai ve voce bebado agora voce bebado voce sim bebado nao ela volta sim falo sim sim amem,x,x
558,Mizinho i agora nada u que o que a ta a vai,x,x
559,Mi ja ti falei si inscreva no seu celular sim pra sigura minha bateria voce e bom agora pro que e nom neca di pitibiribas,x,x
560,Entenda mundo na é a inteligência artificial ruim mais o homem q pode usa la para o seus interesses para o mal...,n,n
561,Não,x,x
562,O ser humano  vai acabar  3 vai chega os robô  aí vai entra o inimigo  com o espírito dele aí eu quero ver,n,n
563,"""DESTINTA"" não existe.
DISTINTA sim. 
Um corretor automático ( IA) teria evitado o erro antes que ele acontecesse.
😂",x,n
564,Isso e muito pirigoso pra humanidade.,n,n
565,O Mundo ja está fora de controle! Estao pensando que Robôs são sempre previsíveis e controláveis. Engano!,n,n
566,"Baseado nas noticias, o controle ja está sendo perdido. Será que Nos Perderemos entre Monstros da Nossa Própria Criacao?",n,n
567,"Assistam The 100 , a terra é destruída pela IA",n,n
568,A série the 100 & better than us se tornando realidade,n,n
569,Izilda,x,x
570,"Gosto muito desse tema, tecnologia avançada, mas gosto muito mais do Ivan Lima 🎉❤ nenhuma IA conseguirá ter o carisma,que Ivan Lima tem 😂😂❤",x,x
571,Era Criança e escutava meu pai falar o  HOMEM SERA ESCRAVO DAS MAQUINAS.,n,n
572,"Se o Elton musk fala q ER or ir pra direita er melhor ir pra esquerda. Afinal o qi dele er de um saco de batatas, er tipo o Trump um guaxinim rico.",x,x
573,DEUS criou o homem e de seu espírito de vida agora vai o homem e cria robôs aí entra o diabo e lhe dá vida,n,n
574,Tudo o que se inventa é  só para o mal nada pro bem comun o q precisa é o Criador fazer tudo q existe é voltar novamente pro nada como era,n,x
575,Se o demônio entra em uma boneca e tenta enforcar criança q já vô relato desses imagina um robô  vai ganhar vida de espiritual maligna p destruir tudo,n,n
576,"Elon Musk, o cara que iniciou o projeto do ChatGPT em 2015 assustado com Inteligência Artificial ? Como assim?",x,x
577,"Agora é tarde, existem muitos interesses envolvido, principalmente pelos comunistas que já estão mergulhados nessa tecnologia",x,n
578,"O Google muitas vezes mente, distorce a História e coloca aquilo que mais lhe interessa; é comprado, chega até apagar verdades, tudo em nome do dinheiro.
Quem vive uma História conhece a verdade, quem não vive ou não viveu, acredita no Google.",x,x
579,agora duvido se vao parar .....,x,x
580,sempre tem um para fazer mal usar essa arma como robo nos ja era ...nao tem marvel para salvar agente ai ferrou ....,n,x
581,Isso aí e só faxada procura ver quem e Alan Musk.    E não se assuste,x,x
582,"Que louco, isso. Musk colocando foguetes em Marte com robôs, tipo fim do mundo.",x,x
583,A única ameaça que temos somos nós mesmos.,x,n
584,Estamos vivendo o Prelúdio do Apocalipse.,n,n
585,Eu torço para que esses máquinas robotizadas inteligentes possam superar a inteligência dos bilionários e se opor a todos eles gerando um fim deles nesse planeta,p,n
586,"Lon musk é baita de um malandro, tá tirando o corpo fora de algo que ele mesmo criou, e viva a hipocrisia.",x,x
587,Deu até medo 😢,n,n
588,Mano IA é A misericórdia de Deus para Todos seres humanos neste próximo sétimo milênio Sabath-Kadosh! Porque no sábado kadosh nenhum humano deve trabalhar! Êxodo-20:8..11!  Êxodos-35! Deuteronômios-5:12..15! E para cumprir os salmos-136! Robôs e IAs./;;! Apocalípse com misericórdia para humanidade./;;!,x,x
589,"AGORA ele quer a intervenção do estado ????!!! Ora ,quem dirá!!!!😒😒😒😒😒",x,x
590,"Donald Trump mentiu e fez morrer mais gente do que qualquer máquina inteligente e esse Elon Musk nunca disse uma palavra contra. O Twitter é uma das maiores fontes de desinformação e causa de suicídios do que qualquer AI e ele até agora não tomou nenhuma medida a respeito, pelo contrário. É muita cara de pau  dele querer liderar esse movimento contra as novas tecnologias. Só otário pra cair nessa conversa fiada.",x,x
591,Elon Musk preocupado é o que me preocupa ou vocês pensam que ele tá mesmo preocupado com o gente?,x,x
592,"Sei lá... Queria que o atendimento de IA das empresas como claro, vivo, Net, etc fossem  competentes como as IAs dessas matérias 😂",x,x
593,Transcendence - A Revolução,p,n
594,"Isso ai já aconteceu... A estrategia da maquina é deixa agente cada vez menos inteligente e acomodado. Para que assim, fique mais facil a dominacao.",n,n
595,"A inteligência artificial tem avançado rapidamente e a possibilidade de criarmos seres artificiais que se assemelhem aos seres humanos, seja fisicamente ou em termos de inteligência, não é mais apenas ficção científica. No entanto, assim como retratado em ""A Ilha do Dr. Moreau"", é importante considerar as consequências éticas e morais de tais experimentos e avanços tecnológicos.
A criação de seres artificiais traz à tona questões como responsabilidade, direitos e liberdades, bem como a possibilidade de que essas criações se tornem ameaças para a humanidade. É importante que, à medida que avançamos em direção a esse futuro, levemos em consideração as implicações éticas e legais de nossas ações.
Como sociedade, devemos buscar equilibrar o avanço tecnológico com a responsabilidade ética e a consideração pelos direitos humanos e dos animais. A ficção científica, como ""A Ilha do Dr. Moreau"", nos fornece uma lente através da qual podemos examinar e refletir sobre as implicações desses avanços e nos preparar para lidar com eles de maneira consciente e responsável.",p,n
596,Elon musk a cabeca pensante por tras de tudo se fazendo de bom samaritano abram os olhos👀,x,x
597,"As sociedades secretas explora,assalta a HUMANIDADE na cara dura e depois culpa qualquer coisa????e isso mesmo????e minha inteligência q lute?????😢😢😢😢😢😢🦾💪",n,n
598,"Já vemos isso nos dias atuais com a criação do ChatGpt, dão respostas bem elaboradas igual a ser humano!",x,n
599,mais um inscrito para o canal fatos desconhecidos um abraço para você meu amigo Ivan Lima sou muito fã seu além disso admiro sua voz de locutor para narrar os vídeos é muito legal e essa história de inteligência artificial eu sou fanático e acompanho todos os dias obrigado abraços,x,x
600,"O video tava indo bem, ate aparecer a foto do 9 dedos ladrao corrupto safado.",x,x
601,Esse avatar faz o que eu quiser..posso usar um para ter uma conta no onlinfas,x,x
602,"Excelente vídeo,",x,x
603,Parece o Felipe Neto kkk,x,x
604,Apocalipse 17,n,n
605,Boa tarde! Sou deficiente visual. Há alguma inteligência artificial que converta voz em texto. Para que eu possa fazer trabalhos acadêmicos?,x,x
606,Google vacilão kkkk,x,x
607,"Meu pai excitante demais esse assunto, me vem um milhão de coisas na cabeça, agora é botar em prática",x,x
608,https://youtu.be/w9NKn-Utspk,x,x
609,Daqui a pouco vai ser tudo igual. Tipo trabalho de faculdade. Adeus criatividade humana que ja quase não existia,n,n
610,"Olá! Dá pra criar uma página de website gratuita com o Canva 😁 O próprio MidJourney permite vc pegar uma imagem existente e a partir dela, gerar uma nova... Gosto bastante de usar o Grammarly...Ótimo conteúdo, agregou d+",x,x
611,que vídeo riquíssimo em conteúdo,x,x
612,Incrivelmente incrível!!!,x,x
613,Adobe Podcast ainda fica muito robotizado nos audios em português,x,x
614,"Vou deixa uma dica de outro pra turbinar o mais ainda o Grammarly! Despois de adicionar a extensão do Grammarly, adicione tmb a extensão DeepL - esse dois combinado ficaram incríveis. Eu uso muito nos comentários do YouTube. Por exemplo, eu digito em português, e com apenas um clique o texto vira inglês! Sem eu ter que precisar ir no Google tradutor, ctrl+c, ctrl+v... Muito mais prático! E pra ficar mais sinistro ainda eu acabei de configurar um atalho pra essa função, ou seja, nem preciso mais clicar em nada pra ativar a tradução, basta eu dar o comando com o atalho e pronto! Texto traduzido. Depois clico no balãozinho do Grammarly, e altero o que ele me sugere, procurando sempre estar lendo pra tentar aprender alguma coisa.",x,x
615,Muito bom!,x,x
616,Quero ser amiga da IA😂,x,x
617,"Ok, o melhor vídeo da minha vida! Gratidão",x,x
618,Dall-E  e paga ou gratuita ?,x,x
619,TOP!!!,x,x
620,Excelente conteúdo!,x,x
621,Olá Breno. Parabéns pelo conteúdo deste vídeo. Conheci hoje o canal jovens de negócios e estou gostando muito. Acredito que as AIs poderam ajudar a melhorar o desenvolvimento do meu canal. Eu te abençoo em nome do Senhor Jesus. 🙂,p,n
622,"o mais legal e seu sotaque, carioca desde entao conhecido pelo romario por pular o muro para ir pra balada em plena copa do mundo, lembrando ele e bom muito bom tem tudo pra fazer isso maiss voce so copia e cola, ]]borhter]] copiar e coolar e muito ruimmmm antigamente se chamava plagio,,,,,, repenseee..... por favor me indique uma ia para corrrigir mei portugues",x,x
623,"Cara voce é bom, uma pena que parece demais com felipe neto :/",x,x
624,Um sistema imparcial q é criado por humanos. Dá pra acreditar?,n,n
625,Muito fx,x,x
626,Cara! Qual a dificuldade de usar termos em português??? É muito cafona misturar português com inglês 🤦🏻‍♂️,x,x
627,"Estou empolgado para ver o que o google vai fazer, será que ele vai demora muito para apresentar a IA dele? Bem eu acho que ele deve está fazendo uma, uma rodando direto do androide vai ser legal, só acho.",p,n
628,Pode trazer e demissões em massa,n,n
629,Muito conhecimento bom para que possamos aprender e aplicar no nosso dia a dia.,x,x
630,"Gosto do video estas cinco inteligencias ariticiiais podem ajudarem na enconomia para investidores e empreededores ,  já usaram isso para ganharem dinheiro ?",x,x
631,poe o link pra gente ae,x,x
632,hahahahahahah ia é da zoeira em,x,x
633,"É povo de Deus a tecnologia evolui por segundos e nòs a grande maioria  ainda  estemos muito atrasados tecnicamente, feliz daqueles que tem facilidades com a tecnologia, pois estes vão edtar  na crista da onda.",x,n
634,BreNo Gratidão por Tanta CONTRIBUIÇÃO 🙏🙏,x,x
635,"Esse projeto Shasta é assustador. Podem fazer você ""falar"" qualquer coisa hoje em dia. 😮",n,x
636,"Nossa, esse canal me ajuda muito.MUITO!🩷",x,x
637,7:45 COMEÇA   NO   MINUTO ⚠️⚠️⚠️⚠️⚠️,x,x
638,"Tai o pote de ouro, basta saber usá-lo",p,n
639,"criar seu proprio chat gpt sem precisar de nimguem!
https://www.youtube.com/watch?v=i9WkGOoC04s",x,x
640,E Assustador tudo isso!,n,n
641,Maquinas dominaram o mundo.,n,n
642,"""Embora a inteligência artificial (IA) possa ser uma ferramenta poderosa para impulsionar os negócios, não há garantia de que saber utilizá-la levará alguém a se tornar milionário. A IA é uma tecnologia que pode ser aplicada em várias áreas, desde análise de dados e reconhecimento de padrões até automação de processos e assistência virtual.

Algumas empresas que utilizam IA em seus negócios obtiveram grande sucesso, como a Amazon, a Google e a Tesla. No entanto, essas empresas são exceções, e muitas outras que utilizam IA em seus negócios não são tão bem-sucedidas.

O sucesso na utilização da IA depende de vários fatores, como a qualidade dos dados utilizados, a habilidade em desenvolver algoritmos e modelos de IA, a capacidade de aplicar a tecnologia de forma eficaz e eficiente e a capacidade de identificar oportunidades de negócios.

Além disso, é importante lembrar que, embora a IA possa ser uma ferramenta poderosa, ela não é uma solução mágica para todos os problemas de negócios. É necessário ter uma estratégia clara e uma compreensão profunda dos desafios de negócios específicos que a IA pode ajudar a resolver.

Em resumo, saber utilizar inteligência artificial pode ser uma vantagem competitiva em negócios, mas não há garantia de que levará alguém a se tornar milionário. O sucesso na utilização da IA depende de vários fatores e de uma estratégia clara de negócios."" 

CHAT GPT 3,5",x,x
643,Gratidão pelo conteúdo! O mundo mudou drasticamente.,x,x
644,"Em toda essa evolução, só não gostei de saber que colocaram uma IA como CEO duma empresa.😢

Isso sim me assustou",n,n
645,"""Socialismo é a religião, ideologia da inveja"" nunca escutei tanta verdade em uma frase tão pequena!!",x,x
646,"8:59
Aquilo é borrão ou está escrito em outra língua tipo árabe🤔",x,x
647,eu tô é com medo desses bagulho,n,n
648,Felipe Neto ?,x,x
649,Tu foi buscar logo o Lula. Não parece muito inteligente não. Imagino o que a IA te retrucou...,x,x
650,Foto do Lula foi só coincidência para exemplificar o vídeo...,x,x
651,Valeu mestreee,x,x
652,O Dall-E2 parausar tem que adquirir créditos.,x,x
653,Ótimo vídeo Perrucho!,x,x
654,Eu já fiz um rótulo de cerveja com AI,x,x
655,Chat GPT tem que pagar? Baixei e logo não consigo mais usar de forma gratuita!,x,x
656,Esse cara só fica coçando o saco toda hora. Aff,x,x
657,"Quem vai fazer o trabalho braçal daqui a alguns anos!?
Tipo... Pedreiro,  eletricista,  dentre outros!? Já tá faltando mão ✋️ de obra qualificada.🤔🌎🔥",n,x
658,QUAL IA UTILIZAR PARA FAZER LOGO?,x,x
659,"Aqui maratonando os vídeos do Breno, me deparo com esse vídeo perfeito. Eu ate amo, Breno! ❤",x,x
660,"Faltou o Microsoft bing como o gpt, e bing creato para imagens",x,x
661,"Obrigado por compartilhar seus conhecimentos. 
Excelente conteúdo.
Show de bola!!
Parabéns!!",x,x
662,"Estou encantada e assustada. A grande questão em relação a qq inteligência artificial, ao meu ver, é que ela se baseia em conteúdos gerados anteriormente por humanos. A partir do momento em que os humanos pararem de gerar conteúdo, ela vai ""rodar em volta"" dos seus próprios conteúdos e a longo prazo o que vejo é um atraso na evolução, uma vez que o ser humano, com sua capacidade empírica, percebe as coisas de maneira singular e daí surge suas criações, e isso ela não vai mais ter. Outra questão que acho muito importante é que hoje, nós somos privilegiados e estamos trabalhando com ela, ela facilita o que a gente demoraria muito para criar, mas meu cérebro sabe criar, mas as gerações que já nascerem na era onde tudo é criado por uma IA, não saberão mais como criar conteúdos. Vale ressaltar que existem IA para ler, resumir e responder mensagens (já hoje), então para quem estes textos serão criados no futuro? IA será o autor do texto que será lido por outra IA? Para a formação do ser humano é basicamente atrofiar o cérebro, uma vez que ele não é desafiado. Se pararmos para pensar, não há mais a mínima necessidade de se saber escrever, inclusive nem digitar,  a gente aprende a escrever porque que quer, pq não precisaria nem mais existir canetas, há tempos, certo? Daqui a pouco os computadores não terão mais teclado e nem mouse, o celular não precisa mais ter, tem gente que nem usa. E pq não dizer que nem terão mais tela, pq no futuro os comandos serão por chip no cérebro, ou num dispositivo qq ligado ao corpo, e as imagens projetadas direto na retina. Ou seja, nós ficaremos reféns da tecnologia ( mais do que já somos). Sabemos que existem milhões de pessoas em miséria extrema e outras que não tem acesso à tecnologias, Neste cenário, o mundo vai se dividir em dois , entre os que tem acesso a isso e os que não têm, e o abismo entre os dois mundos será tão grande que um não terá como interagi com o outro. Não preciso nem dizer que um deles vai chegar uma hora que não vai mais conseguir sobreviver. Será uma seleção ""natural"" pelo acesso À tecnologia. E só para concluir, se unirmos tudo isso ao meta verso, pronto, estaremos vivendo literalmente numa Matrix, sentados em uma cadeira, e não pq fomos obrigados, mas por vontade própria. As IA estão rindo a toa e chamando os seres- humanos de ""robozinhos"". ** Poucas pessoas lerão este texto, pq ninguém mais tem paciência para textão. Santo Asimov nos proteja.",n,n
663,Intensílios não existe né belo. Se vc quer fazer um post estude o mínimo da língua portuguesa.....😢,x,x
664,"Quem e leigo nos termos que vc usa fica boiando,como sempre o mundo não quer que todos cresçam, infelizmente 😢",n,n
665,Que conteúdo perfeito!!!!!,x,x
666,"Eu consegui fazer o chat gpt dar uma mensagem de erro no meio da resposta da pergunta que fiz, 2 vezes na mesma pergunta",x,x
667,"Já pararam pra pensar que até uns anos atrás o YouTube é o celular era algo novo e não muito promissor, e hoje o YouTube tem conteúdos fundamentais para a nossa evolução e os celulares tem capacidades e tecnologias absurdas.
Eu fico pensando se em vinte anos nós evoluímos tanto, o que acontecerá daqui 10 anos ,o que mais eles irão inovar ,o quão poderoso iremos ficar. Qual será o nosso limite.",p,n
668,Acho que a grande parte da população se lascou,n,n
669,"Ótimo conteúdo, obrigada Breno! <3",x,x
670,Muito Top ❤,x,x
671,Muito bom conteúdo,x,x
672,Quanto chix nax palavraich,x,x
673,Caramba!! Quanta evolução,p,n
674,Nunca ouvi tanta besteira. Quando pessoal quer falar de tecnologia sem saber o que falando sai essas pérolas.,x,x
675,onde o Breno consegue essas imagens ?,x,x
676,"No entanto eu me preocupo com isso pq se afetar o trabalhador, provavelmente vai ocorrer colapso econômico, pois muitos ficarão desempregados, e o sistema não conseguiria se sustentar, pois máquinas não consomem serviço e nem produtos feitos pelas empresas, apenas pessoas com poder de compra elevada. Vai acontecer como ocorreu na crise de 29, mas desta vez, no mundo inteiro e muito mais impactante",n,n
677,As máquinas já aprenderam aquilo que o homem nunca aprende: Se aprimorar e se tornar uma pessoa cada vez melhor,p,n
678,Incrível. Tks.. ❤,x,x
679,"ISSO É UM PERIGO.
PODEM ME INCLIMINAR COM VOZ, IMAGENS E SABE OQUE MAIS SEM EU TER FEITO NADA.
PODEM COMEÇAR UMA GUERRA COM BASES FALSAS DE TUDO.
IRÃO SUBSTITUIR MILHARES DE MILHOES D TRABALHADORES POR MÁQUINAS.
O PROGRESSO PRECISA TR LIMITES E O LIMITE É OND AFETA NÓS SERES HUMANOS.",n,n
680,Adorei esse vídeo irmão. Bom demais,x,x
681,Óptimo demais...,x,x
682,MUITO BOMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,x,x
683,"E assustador como a tecnologia está ocupando espaço humano. 
E útil e ao mesmo tempo assustador.",n,n
684,Amei,x,x
685,Vou virar cantor graças a ao projeto shasta 😅,x,x
686,ESSAS INTELIGÊNCIAS ARTIFICIAIS SÃO MUITO LOCAS TEM UM SITE QUE FAZ A SUA FOTO FALAR MUITO  LEGAL.,x,x
687,muito bom o seu conteúdo,x,x
688,"Irresponsável você colocar a foto do Lula com a ar** na mão. Além de dar ideia pra louco, da munição pra quem é mau caráter.",x,x
689,hj ja ta entendo em portugues.,x,x
690,Conteúdo fora da curva parabéns amei!,x,x
691,"Ei, mas o GPT-4 ja nao resolve a questao da escrita? Pra que adquirir o Grammarly?",x,x
692,O YouTube não me avisa sobre seu vídeos novos,x,x
693,Vender arts??? 🤣🤣 todo mudo pode fazer agora,x,x
694,nao entendi como faz pra usar o midjorney no discord,x,x
695,muito bom vídeo! com o que tem de mais moderno saindo do forno!,x,x
696,O Shasta vai acabar com a profissão de dublador 😮,x,x
697,"Curso de filosofia PRESENCIAL: https://acropole.org.br/lp/curso-de-filosofia/
Assine a AcrópolePlay (CONTEÚDO ONLINE): https://acropoleplay.com/
________________________________________________________
- Escola de Filosofia à maneira clássica:

No coração das atividades de Nova Acrópole está a nossa escola de filosofia à maneira clássica, ou seja, como uma via de acesso ao conhecimento e à realização individual e coletiva.

A Escola de Filosofia à maneira clássica de Nova Acrópole inspira-se na poderosa tradição platônica para promover a Filosofia como modelo de vida, que se baseia no conhecimento e no desenvolvimento das qualidades de cada ser humano.

Esta escola desenvolve um programa de estudos comum a todos os países, ministrado em níveis sucessivos, cujo seguimento é condição essencial para ser membro. É uma atualização dos conhecimentos tradicionais do Oriente e do Ocidente que, de acordo com o humanismo clássico, relaciona ciências, artes e filosofias.


- Programa de Introdução:
Nova Acrópole ministra seu programa de Introdução à Filosofia, através de cursos direcionados ao conhecimento das mais importantes Escolas de Filosofia e à aplicação prática desses ensinamentos, com um novo estilo, que integra Oriente e Ocidente e todas as civilizações da História e promove um compromisso social com nosso tempo. Esse programa ensina os valores de uma ética universal, que pode unificar os seres humanos, sem distinção de credos religiosos, culturas ou costumes.


- Introdução à Filosofia comparada do Oriente e Ocidente:
1. Filosofia natural. A arte de aprender a viver. O enigma da vida.
2. O ser humano e o cosmos. Os sete princípios da Natureza.
3. A sabedoria da antiga Índia. Dharma-Karma. O Bhagavad-Gita: o despertar da consciência e a guerra interior.
4. Ensinamentos do Tibet. Antigos textos: “A voz do silêncio” e “O livro dos preceitos de ouro”.
5. Filosofia budista. Vida e ensinamentos do Buda. O Dhammapada.
6. Sabedoria da China. Confúcio: a ética como fundamento da ordem social. Lao-tzu e a conquista da harmonia.
7. Egito. Significado da vida e vida após a morte. Textos e ensinamentos de Ptahotep, Ani…
8. Grécia. Os grandes filósofos.
9. Platão: justiça e liberdade. O mito da caverna.
10. Aristóteles: os valores éticos e a busca da felicidade.
11. Roma. Filosofia estoica.
12. Epicteto, Sêneca, Marco Aurélio. Coragem e força diante da adversidade.
13. A liberdade interior e o poder sobre si mesmo.
14. A Escola neoplatônica. Plotino. As três abordagens da sabedoria: beleza, música e filosofia.
15. O ser humano e a sociedade. Fatores que favorecem a convivência.
16. O ser humano e a História. Antiguidade da Humanidade. Ciclos históricos. Juventude interior. Podemos mudar o mundo?
17. Práticas de Psicologia. Memória. Concentração. Atenção.

- Cursos avançados
1. Psicologia. Conjunto de saberes e práticas que permitem expandir a consciência, trabalhar a imaginação e a memória para desenvolver a mente e aprender a controlar as emoções com sentimentos superiores. É a chave para “conhecer-se” para chegar a uma psicossíntese.
2. Sabedoria do Oriente e do Ocidente (dois níveis). Compêndio de temas que giram em torno do universo, da vida e do ser humano, abordados a partir das tradições de sabedoria do Oriente e do Ocidente, e suas implicações para os postulados da ciência atual.
3. Simbologia das Civilizações. Estudo e análise comparativa dos mitos e símbolos das religiões e civilizações.
4. Filosofia Aplicada e Ética. Passeio pelas principais Escolas de Moral do Oriente e do Ocidente.
5. Sociopolítica. Uma abordagem filosófica para melhorar nossa sociedade.
6. Oratória (dois níveis). Recuperação da arte da palavra, da eficácia na expressão oral.
7. História da Filosofia (quatro níveis). Conhecimento profundo das propostas da Filosofia, ao longo da História, análise do seu contexto e da sua influência.
8. História das Religiões. Estudo comparativo das mensagens teológicas das religiões que, em todos os tempos, despertaram a consciência da Humanidade.
9. Antropogênese. Estudo das concepções do ser humano e sua evolução.
10. Cosmogênese. Estudo das concepções sobre a origem do universo e seu desenvolvimento.
11. Astrologia. Estudo da concepção do universo como um sistema de seres vivos que interagem, que se aproxima da moderna teoria GAIA.
12. Filosofia da ciência. Estudo dos fundamentos filosóficos de toda ciência e da epistemologia subjacente a todo método científico.
13. Estética Metafísica. Estudo sobre os processos do caminho da beleza.


________________________________________________________
Siga a #NovaAcropole:
Site: https://www.acropole.org.br/
Instagram: https://www.instagram.com/novaacropol...
Facebook: https://www.facebook.com/novaacropole...
Twitter: https://twitter.com/novaacropolebr
Telegram: https://www.t.me/novaacropolebrasil",x,x
698,"É como no filme
 INTELIGÊNCIA ARTIFICIAL em que a máquina o robo quer ser humano para sentir os 5 sentidos dos seres humanos, é isso
 é o "" ciclo da vida "" o início meio e fim só que agora estamos introduzindo a inteligência artificial...
Tal como os Dinossauros que foram instintos sem causar dano algum ao planeta Terra,
Será que  está chegando a extinção humana?????
Será?????
Bem nossa evolução continuará isso é certo!!!😊🍀🪬🧘🏾‍♀️🙏🏾",n,n
699,"Bravo at totum Prof. Lúcia Helena Galvão! 
""Saber ser é  vencer tudo o que te adia para fruir o melhor de ti mesmo."" ―  Yan Ayrton, jovem livre pensador
                                                              E agora vamos a humana inteligência .
Peça-me que eu formule poeticamente sobre temas filosóficos atemporais como A Verdade A Solidão A Tristeza e a Alegria.
                                                                                               Duvido que esta AI se saia melhor .Yan Ayrton
Vmos a primeira:


                                                                  SOLIDÃO.Um intra-diálogo num divã.

                                                                                                                                             Autor : Yan Ayrton

Solidão
vossa onipresente sombra
tolhe
acolhe e recolhe o meu ser
- em seu ser –

Reluto e aceito-te pois
esvai-me o sentido
dos triunfalistas -
dos habitantes dos palanques
das popularidades fáceis e frivolidades idem

Com voce algo de mim desperta e sai
Buscando iguais improváveis
E aí infantes esperanças caem
E nirvanas se esvaem


E voce atenta
A tudo de mim.


Um gemido sentido irrompe
E interrompe a linearidade de tudo
Um incontido aí
Vai dialogando-te noite adentro
Sem fim
No limite de mim


Voce vira argamassa e cola
Só que em vão...

Pois o meu ser parte
Parte-se
Pedaço
Cansaço
Fracasso?
Não acho.


No quebra-cabeça que sou
Sobram tantas partes
Pedaços raros de mim
Que vc caprichosa limita e delimita


Mas aí
Vc assim bem quer
Sempre a mim junto a ti


no panteão surrealista insensato
Na plenitude do destituído ser (como já antevia Kirkieggard)


Na periodicidade do não vir a ser
Em cada pedaço de mim


que deixou de ser
No vazio que quer crescer
eu estaco
me perco
e me acho


E não te satisfaço

Enquanto tudo
acontece
No que chamam vida lá fora. O jovem YAN AYRTON",x,x
700,Exce)ente. Obrigada.,x,x
701,Muito obrigada 🙌🙌🙌🙏,x,x
702,"Essa tal inteligência artificial, plateia as obras musicais.",n,n
703,"Admiro a professora, que dispensa apresentações. 

Mas nesse tema penso que está enganada. 
Ela mesmo se contradiz na exposição. 
Vê-se que ela sabe bem o que é a IA, ao descrevê-lá. Entretanto a sua conclusão contradiz a definição de IA que ela própria repetiu. 

Primeiro, o nome “inteligência”artificial é apenas …um nome. É sabido que ela, por si só, não tem, por enquanto, a total inteligência na forma que esse termo é usado. Então só o uso de etimologia nesse caso para desvalorizar essa aplicação tecnológica não diz nada. 

Por trás de qualquer aplicação de IA há humanos,que empregam suas inteligências na sua configuração. E na formação dos algoritmos há cálculos matemáticos, o emprego de lógica que analisará tudo o que esses desenvolvedores quiserem que seja usado na internet. Pode usar absolutamente tudo. Inclusive a aula desse vídeo para aprender” a elocubrar vínculos que podem ser feitos entre símbolos e possíveis ideias. 
O repertório para isso é inimaginavelmente extenso.

Hoje não temos a biblioteca de Alexandria na internet. Temos ela, e mais todas as outras maiores bibliotecas do mundo!

A programação de lógica de algoritmos para uso de IA é capaz de analisar tudo isso em milésimos de segundos. 
Entre tudo isso há muito material que cultuamos como exclusivos do ser humano. 
Então, sinto informar; mas os algoritmos saberão raciocinar de forma “humana” melhor que os humanos. 
Saberá consultar e comparar impressões de afetos, curiosidades, estados anímicos em geral, etc, do ser humano e aplicá-las em seu funcionamento caso seja necessário.

Quanto à suposta falta de capacidade de criar coisas novas, como fez Copernico, Newton, Einstein etc em relação aos seus predecessores, a professora subestimou demais a tecnologia que inclusive já existe. 
Com a colossal capacidade de medir infinitas probabilidades usando os conhecimentos já atingidos pela humanidade, sera sim a IA capaz de mostrar caminhos nunca dantes imaginados, possibilitando a evolução das teorias existentes e, mesmo, criação de novas. Isso aliás é algo básico para a IA. 

Por último, ressalto que, segundo especialistas, a IA DOBRA de capacidade há cada 4 meses. 
Parem para pensar nessa evolução exponencial. É algo que não podemos subestimar, pois não tem como saber exatamente o que vem por aí. Descobriremos justamente só com a IA nos mostrando, criando novos caminhos. 

De todo modo, é necessária a reflexão trazida pela professora para cultuarmos também nossos sentimentos e atividades que nos caracterizam como seres pensantes e sensíveis a estímulos que nos acompanham nessa longa evolução de milhares de anos da espécie.",x,x
704,sensacional! gratidão por esta explanação ❤,x,x
705,"Professora, a senhora sempre a trazer mais luz, que sua clareza possa alcançar mais espaços, corações e mentes🙏🏻🥰",x,x
706,"Se tão somente Se, o indivíduo tiver um Chip no Cérebro em que dará condição de ser lido os sinapse do cérebro dando assim um compartilhamento de reações e emoções?",x,x
707,"A professora definitivamente está subestimando a capacidade das IAs.
Ela própria vai se surpreender muito e voltar a falar desse tema.",x,x
708,"9:37 Teseu❤
20:19 raciocínio mecânico
21:13 a lógica e imaginação",x,x
709,insights !!❤,x,x
710,"Nunca, jamais, despreze uma intuição",x,x
